person,anger,gender,item,description,do,other,scold,shout,poly,dich
1,20,1,1,do bus curse,0,1,0,0,0,0
1,20,1,2,do bus scold,0,1,1,0,0,0
1,20,1,3,do bus shout,0,1,0,1,0,0
1,20,1,4,do train curse,0,1,0,0,0,0
1,20,1,5,do train scold,0,1,1,0,0,0
1,20,1,6,do train shout,0,1,0,1,0,0
1,20,1,7,do store curse,0,0,0,0,0,0
1,20,1,8,do store scold,0,0,1,0,0,0
1,20,1,9,do store shout,0,0,0,1,1,1
1,20,1,10,do operator curse,0,0,0,0,2,1
1,20,1,11,do operator scold,0,0,1,0,0,0
1,20,1,12,do operator shout,0,0,0,1,0,0
1,20,1,13,want bus curse,1,1,0,0,1,1
1,20,1,14,want bus scold,1,1,1,0,0,0
1,20,1,15,want bus shout,1,1,0,1,1,1
1,20,1,16,want train curse,1,1,0,0,1,1
1,20,1,17,want train scold,1,1,1,0,0,0
1,20,1,18,want train shout,1,1,0,1,0,0
1,20,1,19,want store curse,1,0,0,0,1,1
1,20,1,20,want store scold,1,0,1,0,0,0
1,20,1,21,want store shout,1,0,0,1,0,0
1,20,1,22,want operator curse,1,0,0,0,2,1
1,20,1,23,want operator scold,1,0,1,0,2,1
1,20,1,24,want operator shout,1,0,0,1,2,1
2,11,1,1,do bus curse,0,1,0,0,0,0
2,11,1,2,do bus scold,0,1,1,0,0,0
2,11,1,3,do bus shout,0,1,0,1,0,0
2,11,1,4,do train curse,0,1,0,0,0,0
2,11,1,5,do train scold,0,1,1,0,0,0
2,11,1,6,do train shout,0,1,0,1,0,0
2,11,1,7,do store curse,0,0,0,0,0,0
2,11,1,8,do store scold,0,0,1,0,0,0
2,11,1,9,do store shout,0,0,0,1,0,0
2,11,1,10,do operator curse,0,0,0,0,0,0
2,11,1,11,do operator scold,0,0,1,0,0,0
2,11,1,12,do operator shout,0,0,0,1,0,0
2,11,1,13,want bus curse,1,1,0,0,0,0
2,11,1,14,want bus scold,1,1,1,0,0,0
2,11,1,15,want bus shout,1,1,0,1,0,0
2,11,1,16,want train curse,1,1,0,0,0,0
2,11,1,17,want train scold,1,1,1,0,0,0
2,11,1,18,want train shout,1,1,0,1,0,0
2,11,1,19,want store curse,1,0,0,0,1,1
2,11,1,20,want store scold,1,0,1,0,0,0
2,11,1,21,want store shout,1,0,0,1,0,0
2,11,1,22,want operator curse,1,0,0,0,0,0
2,11,1,23,want operator scold,1,0,1,0,0,0
2,11,1,24,want operator shout,1,0,0,1,0,0
3,17,0,1,do bus curse,0,1,0,0,1,1
3,17,0,2,do bus scold,0,1,1,0,1,1
3,17,0,3,do bus shout,0,1,0,1,1,1
3,17,0,4,do train curse,0,1,0,0,1,1
3,17,0,5,do train scold,0,1,1,0,0,0
3,17,0,6,do train shout,0,1,0,1,1,1
3,17,0,7,do store curse,0,0,0,0,1,1
3,17,0,8,do store scold,0,0,1,0,0,0
3,17,0,9,do store shout,0,0,0,1,0,0
3,17,0,10,do operator curse,0,0,0,0,0,0
3,17,0,11,do operator scold,0,0,1,0,0,0
3,17,0,12,do operator shout,0,0,0,1,0,0
3,17,0,13,want bus curse,1,1,0,0,0,0
3,17,0,14,want bus scold,1,1,1,0,1,1
3,17,0,15,want bus shout,1,1,0,1,1,1
3,17,0,16,want train curse,1,1,0,0,0,0
3,17,0,17,want train scold,1,1,1,0,0,0
3,17,0,18,want train shout,1,1,0,1,1,1
3,17,0,19,want store curse,1,0,0,0,0,0
3,17,0,20,want store scold,1,0,1,0,0,0
3,17,0,21,want store shout,1,0,0,1,0,0
3,17,0,22,want operator curse,1,0,0,0,1,1
3,17,0,23,want operator scold,1,0,1,0,0,0
3,17,0,24,want operator shout,1,0,0,1,0,0
4,21,0,1,do bus curse,0,1,0,0,1,1
4,21,0,2,do bus scold,0,1,1,0,1,1
4,21,0,3,do bus shout,0,1,0,1,1,1
4,21,0,4,do train curse,0,1,0,0,1,1
4,21,0,5,do train scold,0,1,1,0,1,1
4,21,0,6,do train shout,0,1,0,1,1,1
4,21,0,7,do store curse,0,0,0,0,1,1
4,21,0,8,do store scold,0,0,1,0,0,0
4,21,0,9,do store shout,0,0,0,1,0,0
4,21,0,10,do operator curse,0,0,0,0,0,0
4,21,0,11,do operator scold,0,0,1,0,0,0
4,21,0,12,do operator shout,0,0,0,1,0,0
4,21,0,13,want bus curse,1,1,0,0,1,1
4,21,0,14,want bus scold,1,1,1,0,1,1
4,21,0,15,want bus shout,1,1,0,1,1,1
4,21,0,16,want train curse,1,1,0,0,2,1
4,21,0,17,want train scold,1,1,1,0,1,1
4,21,0,18,want train shout,1,1,0,1,1,1
4,21,0,19,want store curse,1,0,0,0,1,1
4,21,0,20,want store scold,1,0,1,0,0,0
4,21,0,21,want store shout,1,0,0,1,0,0
4,21,0,22,want operator curse,1,0,0,0,0,0
4,21,0,23,want operator scold,1,0,1,0,0,0
4,21,0,24,want operator shout,1,0,0,1,0,0
5,17,0,1,do bus curse,0,1,0,0,1,1
5,17,0,2,do bus scold,0,1,1,0,0,0
5,17,0,3,do bus shout,0,1,0,1,1,1
5,17,0,4,do train curse,0,1,0,0,1,1
5,17,0,5,do train scold,0,1,1,0,0,0
5,17,0,6,do train shout,0,1,0,1,0,0
5,17,0,7,do store curse,0,0,0,0,1,1
5,17,0,8,do store scold,0,0,1,0,0,0
5,17,0,9,do store shout,0,0,0,1,0,0
5,17,0,10,do operator curse,0,0,0,0,1,1
5,17,0,11,do operator scold,0,0,1,0,0,0
5,17,0,12,do operator shout,0,0,0,1,0,0
5,17,0,13,want bus curse,1,1,0,0,1,1
5,17,0,14,want bus scold,1,1,1,0,1,1
5,17,0,15,want bus shout,1,1,0,1,0,0
5,17,0,16,want train curse,1,1,0,0,1,1
5,17,0,17,want train scold,1,1,1,0,0,0
5,17,0,18,want train shout,1,1,0,1,0,0
5,17,0,19,want store curse,1,0,0,0,1,1
5,17,0,20,want store scold,1,0,1,0,0,0
5,17,0,21,want store shout,1,0,0,1,0,0
5,17,0,22,want operator curse,1,0,0,0,1,1
5,17,0,23,want operator scold,1,0,1,0,0,0
5,17,0,24,want operator shout,1,0,0,1,0,0
6,21,0,1,do bus curse,0,1,0,0,2,1
6,21,0,2,do bus scold,0,1,1,0,2,1
6,21,0,3,do bus shout,0,1,0,1,0,0
6,21,0,4,do train curse,0,1,0,0,2,1
6,21,0,5,do train scold,0,1,1,0,0,0
6,21,0,6,do train shout,0,1,0,1,0,0
6,21,0,7,do store curse,0,0,0,0,1,1
6,21,0,8,do store scold,0,0,1,0,1,1
6,21,0,9,do store shout,0,0,0,1,1,1
6,21,0,10,do operator curse,0,0,0,0,0,0
6,21,0,11,do operator scold,0,0,1,0,0,0
6,21,0,12,do operator shout,0,0,0,1,0,0
6,21,0,13,want bus curse,1,1,0,0,2,1
6,21,0,14,want bus scold,1,1,1,0,0,0
6,21,0,15,want bus shout,1,1,0,1,0,0
6,21,0,16,want train curse,1,1,0,0,2,1
6,21,0,17,want train scold,1,1,1,0,0,0
6,21,0,18,want train shout,1,1,0,1,0,0
6,21,0,19,want store curse,1,0,0,0,2,1
6,21,0,20,want store scold,1,0,1,0,0,0
6,21,0,21,want store shout,1,0,0,1,0,0
6,21,0,22,want operator curse,1,0,0,0,2,1
6,21,0,23,want operator scold,1,0,1,0,2,1
6,21,0,24,want operator shout,1,0,0,1,0,0
7,39,0,1,do bus curse,0,1,0,0,2,1
7,39,0,2,do bus scold,0,1,1,0,2,1
7,39,0,3,do bus shout,0,1,0,1,2,1
7,39,0,4,do train curse,0,1,0,0,1,1
7,39,0,5,do train scold,0,1,1,0,1,1
7,39,0,6,do train shout,0,1,0,1,2,1
7,39,0,7,do store curse,0,0,0,0,1,1
7,39,0,8,do store scold,0,0,1,0,0,0
7,39,0,9,do store shout,0,0,0,1,1,1
7,39,0,10,do operator curse,0,0,0,0,0,0
7,39,0,11,do operator scold,0,0,1,0,0,0
7,39,0,12,do operator shout,0,0,0,1,0,0
7,39,0,13,want bus curse,1,1,0,0,2,1
7,39,0,14,want bus scold,1,1,1,0,2,1
7,39,0,15,want bus shout,1,1,0,1,2,1
7,39,0,16,want train curse,1,1,0,0,1,1
7,39,0,17,want train scold,1,1,1,0,1,1
7,39,0,18,want train shout,1,1,0,1,2,1
7,39,0,19,want store curse,1,0,0,0,0,0
7,39,0,20,want store scold,1,0,1,0,0,0
7,39,0,21,want store shout,1,0,0,1,0,0
7,39,0,22,want operator curse,1,0,0,0,0,0
7,39,0,23,want operator scold,1,0,1,0,0,0
7,39,0,24,want operator shout,1,0,0,1,0,0
8,21,0,1,do bus curse,0,1,0,0,0,0
8,21,0,2,do bus scold,0,1,1,0,0,0
8,21,0,3,do bus shout,0,1,0,1,0,0
8,21,0,4,do train curse,0,1,0,0,0,0
8,21,0,5,do train scold,0,1,1,0,0,0
8,21,0,6,do train shout,0,1,0,1,0,0
8,21,0,7,do store curse,0,0,0,0,0,0
8,21,0,8,do store scold,0,0,1,0,0,0
8,21,0,9,do store shout,0,0,0,1,0,0
8,21,0,10,do operator curse,0,0,0,0,0,0
8,21,0,11,do operator scold,0,0,1,0,0,0
8,21,0,12,do operator shout,0,0,0,1,0,0
8,21,0,13,want bus curse,1,1,0,0,2,1
8,21,0,14,want bus scold,1,1,1,0,0,0
8,21,0,15,want bus shout,1,1,0,1,0,0
8,21,0,16,want train curse,1,1,0,0,2,1
8,21,0,17,want train scold,1,1,1,0,0,0
8,21,0,18,want train shout,1,1,0,1,0,0
8,21,0,19,want store curse,1,0,0,0,2,1
8,21,0,20,want store scold,1,0,1,0,0,0
8,21,0,21,want store shout,1,0,0,1,0,0
8,21,0,22,want operator curse,1,0,0,0,2,1
8,21,0,23,want operator scold,1,0,1,0,0,0
8,21,0,24,want operator shout,1,0,0,1,0,0
9,24,0,1,do bus curse,0,1,0,0,0,0
9,24,0,2,do bus scold,0,1,1,0,0,0
9,24,0,3,do bus shout,0,1,0,1,0,0
9,24,0,4,do train curse,0,1,0,0,1,1
9,24,0,5,do train scold,0,1,1,0,1,1
9,24,0,6,do train shout,0,1,0,1,0,0
9,24,0,7,do store curse,0,0,0,0,1,1
9,24,0,8,do store scold,0,0,1,0,0,0
9,24,0,9,do store shout,0,0,0,1,1,1
9,24,0,10,do operator curse,0,0,0,0,1,1
9,24,0,11,do operator scold,0,0,1,0,0,0
9,24,0,12,do operator shout,0,0,0,1,0,0
9,24,0,13,want bus curse,1,1,0,0,2,1
9,24,0,14,want bus scold,1,1,1,0,0,0
9,24,0,15,want bus shout,1,1,0,1,0,0
9,24,0,16,want train curse,1,1,0,0,2,1
9,24,0,17,want train scold,1,1,1,0,0,0
9,24,0,18,want train shout,1,1,0,1,0,0
9,24,0,19,want store curse,1,0,0,0,1,1
9,24,0,20,want store scold,1,0,1,0,0,0
9,24,0,21,want store shout,1,0,0,1,1,1
9,24,0,22,want operator curse,1,0,0,0,0,0
9,24,0,23,want operator scold,1,0,1,0,1,1
9,24,0,24,want operator shout,1,0,0,1,0,0
10,16,0,1,do bus curse,0,1,0,0,2,1
10,16,0,2,do bus scold,0,1,1,0,2,1
10,16,0,3,do bus shout,0,1,0,1,2,1
